Algorithm (samples=1000),Item Fetching (ns),Gen n=1 (ns),Gen n=10 (ns),Gen n=100 (ns),Gen n=1000 (ns),
MD5,1263,4798,16505,42511,252774,
SHA-256,899,4098,18950,60528,288097,
SHA-512,414,3635,17956,32161,331676,
SHA3-256,321,4451,17671,78174,768871,
