Algorithm (samples=100000),Initialization (ns),Item Fetching (ns),Gen n=1 (ns),Gen n=10 (ns),Gen n=100 (ns),Gen n=1000 (ns),Putting into packet (ns),
MD5,490,3706,242,1827,16637,199133,161,
SHA-224,171,3152,215,2399,25076,279882,43,
SHA-256,94,3200,232,2356,25036,277321,30,
SHA-384,68,3555,254,2824,29435,322307,23,
SHA-512,69,3464,256,2857,29450,324813,24,
