Algorithm (samples=100000),Initialization (ns),Item Fetching (ns),Gen n=1 (ns),Gen n=10 (ns),Gen n=100 (ns),Gen n=1000 (ns),Putting into packet (ns),
MD5,488,3366,234,1828,16598,196227,171,
SHA-224,151,3185,225,2372,25008,276790,39,
SHA-256,73,3205,214,2423,25193,279642,24,
SHA-384,91,3572,262,2851,29807,330959,24,
SHA-512,68,3558,280,2859,29779,322417,25,
