Algorithm (samples=100000),Initialization (ns),Item Fetching (ns),Gen n=1 (ns),Gen n=10 (ns),Gen n=100 (ns),Gen n=1000 (ns),Putting into packet (ns),
MD5,483,3725,251,1895,16315,197949,155,
SHA-224,152,3521,211,2330,24305,274156,53,
SHA-256,121,3503,216,2417,25220,280153,25,
SHA-384,91,3502,270,2862,29706,326452,24,
SHA-512,72,3552,259,2873,29996,327708,24,
