Algorithm (samples=100000),Initialization (ns),Item Fetching (ns),Gen n=1 (ns),Gen n=10 (ns),Gen n=100 (ns),Gen n=1000 (ns),Putting into packet (ns),
MD5,490,3730,248,1838,16369,198030,171,
SHA-224,166,3528,220,2289,24170,268911,39,
SHA-256,98,3386,215,2384,25080,281367,25,
SHA-384,61,3372,253,2816,29450,323210,24,
SHA-512,70,3519,280,2864,29789,326725,25,
