Algorithm (samples=100000),Initialization (ns),Item Fetching (ns),Gen n=1 (ns),Gen n=10 (ns),Gen n=100 (ns),Gen n=1000 (ns),Putting into packet (ns),
MD5,498,3760,253,1898,16343,194275,157,
SHA-224,146,3594,217,2285,24231,275630,39,
SHA-256,68,3558,214,2399,25208,281016,25,
SHA-384,86,3539,256,2894,30204,329042,24,
SHA-512,108,3478,265,2917,29924,327414,24,
